ProjectID,StartDate,EndDate,DurationDays,Budget,TeamSize,ComplexityLevel,ManagerExperienceYears,ClientSatisfaction,QualityScore,Delayed,Success
32,2019-10-09,2019-12-29,81,112536.21,11,3,12,7,0.874,0,1
33,2019-08-29,2019-10-06,38,86755.99,16,1,11,10,0.777,0,1
34,2018-03-08,2018-12-09,276,134296.55,20,2,3,1,0.726,1,0
35,2021-04-22,2022-01-30,283,82448.67,11,2,2,5,0.651,1,1
36,2022-10-11,2023-09-06,330,131843.34,15,4,15,9,0.656,1,1
37,2022-10-24,2023-01-12,80,100127.84,3,4,2,7,0.665,0,1
38,2020-07-02,2020-11-21,142,90112.09,12,3,15,5,0.657,0,1
39,2020-10-04,2021-06-07,246,95967.86,10,2,14,4,0.761,1,1
40,2022-11-17,2023-05-15,179,76423.58,13,2,3,10,0.911,0,0
41,2018-04-19,2019-02-11,298,52030.72,8,4,2,2,0.696,1,0
42,2020-04-25,2020-11-06,195,102558.69,17,4,6,9,0.635,1,1
43,2019-05-05,2020-02-12,283,95190.98,4,5,5,2,0.745,1,1
44,2022-12-01,2023-07-29,240,108495.52,4,1,1,4,0.699,1,1
45,2018-07-28,2018-12-27,152,128570.57,18,2,12,8,0.813,0,1
46,2018-03-04,2018-12-15,286,79954.3,6,2,4,2,0.908,1,0
47,2018-02-01,2018-08-20,200,114671.43,6,3,8,10,1.0,1,1
48,2021-09-16,2022-07-16,303,87664.19,16,5,15,3,0.838,1,1
49,2021-07-28,2022-07-22,359,102491.28,15,4,12,1,0.624,1,0
50,2020-04-27,2021-04-02,340,100228.61,10,5,7,5,0.645,1,1
51,2021-06-11,2021-07-20,39,73442.41,7,4,9,3,0.771,0,1
52,2021-07-03,2022-06-15,347,115513.71,4,5,11,3,0.676,1,1
53,2021-03-22,2022-02-13,328,80418.67,18,2,7,2,0.652,1,0
54,2022-04-26,2023-02-26,306,91081.37,19,5,1,7,0.783,1,0
55,2021-07-23,2021-12-13,143,105686.5,13,2,6,2,0.896,0,1
56,2018-02-03,2018-04-07,63,91887.73,8,4,5,7,0.669,0,0
57,2019-01-04,2019-12-11,341,106497.07,19,4,5,10,0.817,1,1
58,2019-01-23,2019-07-07,165,132484.92,8,2,14,7,0.57,0,1
59,2018-01-23,2018-11-25,306,106262.32,12,3,13,5,0.752,1,1
60,2022-11-28,2023-05-25,178,105657.21,19,3,4,3,0.827,0,1
61,2022-11-15,2023-01-17,63,107326.81,17,4,15,3,0.593,0,1
62,2019-11-22,2020-09-09,292,104370.83,19,4,8,9,0.517,1,1
63,2018-01-17,2018-06-11,145,70217.41,10,5,9,9,0.798,0,1
64,2019-10-23,2020-08-28,310,81220.51,20,1,14,5,0.53,1,1
65,2022-08-20,2023-01-18,151,124084.4,5,1,6,7,0.762,0,1
66,2018-03-14,2018-10-12,212,78308.97,4,4,3,9,0.722,1,1
67,2022-12-01,2023-03-26,115,77762.14,9,3,9,5,0.578,0,0
68,2022-02-11,2022-05-11,89,121966.84,19,2,3,4,0.664,0,1
69,2019-11-21,2020-04-08,139,100325.05,15,4,4,4,0.918,0,0
70,2021-10-22,2021-11-30,39,64839.87,19,2,8,6,0.695,0,1
71,2019-07-08,2020-06-30,358,73227.69,4,1,2,7,0.772,1,0
72,2022-12-06,2023-06-07,183,96896.69,18,4,5,9,0.811,1,0
73,2019-04-21,2019-09-12,144,78830.16,14,2,8,9,0.473,0,1
74,2021-02-23,2021-08-12,170,76848.83,15,5,2,4,0.623,0,0
75,2021-07-27,2022-07-14,352,104329.52,8,2,14,7,0.758,1,1
76,2019-11-14,2020-02-09,87,105773.84,9,3,12,3,0.579,0,0
77,2020-02-03,2020-04-07,64,101455.22,5,2,9,4,0.529,0,0
78,2020-01-06,2020-10-19,287,121811.18,3,4,12,6,0.86,1,1
79,2018-05-13,2018-12-25,226,65558.27,16,1,3,10,0.559,1,1
80,2019-10-04,2020-04-06,185,107611.23,12,5,9,6,0.739,1,0
81,2021-11-20,2022-05-29,190,112876.19,10,3,10,7,1.0,1,1
82,2021-01-12,2021-10-05,266,133272.03,11,2,13,8,0.848,1,1
83,2022-03-03,2022-11-28,270,92118.27,19,5,6,9,0.814,1,1
84,2022-02-27,2022-09-27,212,104125.57,16,4,7,5,0.572,1,1
85,2021-04-29,2021-08-02,95,157866.46,17,1,13,10,0.42,0,1
86,2021-12-21,2022-05-21,151,89636.7,11,2,7,5,0.712,0,1
87,2021-09-23,2022-01-19,118,88201.7,15,2,5,10,0.863,0,1
88,2018-07-10,2019-01-20,194,139009.5,7,4,10,5,0.719,1,1
89,2021-03-20,2022-01-23,309,81740.83,4,3,15,5,0.732,1,1
90,2021-08-03,2022-01-24,174,159725.9,20,5,10,4,0.977,0,1
91,2020-05-19,2020-10-08,142,49371.44,6,4,10,6,0.728,0,1
92,2022-07-21,2023-01-15,178,88887.53,19,1,2,2,0.45,0,1
93,2020-09-15,2021-06-09,267,112624.68,18,2,10,3,0.83,1,1
94,2019-10-23,2020-06-14,235,91643.82,5,1,7,9,0.652,1,1
95,2018-04-03,2019-02-04,307,144136.36,3,5,7,9,0.761,1,1
96,2020-12-17,2021-11-09,327,109432.41,20,4,15,5,0.948,1,1
97,2018-08-17,2019-05-03,259,62015.75,11,3,7,10,0.627,1,1
98,2018-04-20,2018-08-13,115,94065.2,6,4,7,1,0.981,0,1
99,2018-06-25,2018-07-30,35,30000.0,6,1,13,1,0.546,0,1
100,2020-01-16,2020-09-19,247,50125.96,11,4,5,1,0.505,1,0
101,2022-03-18,2023-01-09,297,88998.89,16,1,10,8,0.72,1,1
102,2018-10-27,2019-07-15,261,101462.72,9,2,9,8,1.0,1,1
103,2018-10-26,2019-02-15,112,75462.28,8,2,8,5,0.769,0,1
104,2020-04-06,2020-10-10,187,94938.56,7,4,15,5,0.709,1,1
105,2021-07-04,2022-01-08,188,102837.93,8,5,8,7,0.799,1,1
106,2020-10-04,2021-01-05,93,84621.66,4,5,13,8,1.0,0,1
107,2020-11-17,2021-06-17,212,96205.37,12,1,5,3,0.788,1,0
108,2019-04-13,2019-06-02,50,87839.18,18,2,11,3,0.731,0,1
109,2019-03-10,2019-07-02,114,85265.88,16,2,9,9,0.827,0,1
110,2022-11-26,2023-09-03,281,123800.28,15,5,14,8,0.918,1,0
111,2018-09-19,2019-06-21,275,120321.55,11,3,14,8,0.794,1,1
112,2021-01-24,2021-12-23,333,113793.43,17,2,9,2,0.593,1,0
113,2022-01-03,2022-07-21,199,99477.46,15,2,2,3,0.718,1,1
114,2019-11-17,2020-07-28,254,83269.93,16,4,2,10,0.874,1,0
115,2022-06-05,2022-11-27,175,94557.97,8,4,5,2,0.865,0,0
116,2021-08-17,2022-05-17,273,89802.12,4,4,5,1,0.739,1,0
117,2020-11-21,2021-04-21,151,132636.97,14,3,14,10,0.703,0,1
118,2019-03-26,2019-05-16,51,94019.38,10,3,1,2,0.828,0,1
119,2022-04-21,2022-07-06,76,108104.16,3,4,6,1,0.68,0,0
120,2019-11-17,2020-09-01,289,147807.94,8,4,6,9,0.86,1,1
121,2018-07-03,2018-10-31,120,74849.57,12,1,10,10,0.518,0,1
122,2022-06-12,2022-08-16,65,119266.96,14,3,9,8,0.8,0,1
123,2022-12-20,2023-10-27,311,99693.83,11,1,7,7,0.565,1,1
124,2020-03-24,2020-07-25,123,47749.56,19,2,15,9,0.966,0,1
125,2022-06-06,2022-07-09,33,79362.57,18,4,2,6,0.652,0,1
126,2022-05-18,2022-09-29,134,115346.03,9,3,9,4,0.904,0,1
127,2021-12-28,2022-08-02,217,106124.16,5,5,13,8,0.624,1,1
128,2019-02-10,2019-03-15,33,113977.73,18,4,3,5,0.831,0,1
129,2021-07-11,2021-12-13,155,63797.89,6,4,12,10,0.489,0,1
130,2018-06-07,2018-07-27,50,83394.31,10,1,9,8,0.904,0,1
131,2021-10-19,2022-03-15,147,107772.69,10,2,3,2,0.921,0,1
132,2020-12-28,2021-10-15,291,92441.89,7,4,2,5,0.699,1,0
133,2022-11-22,2023-11-02,345,108067.96,5,2,13,7,0.576,1,1
134,2018-08-03,2019-01-02,152,112317.16,5,4,12,8,0.713,0,1
135,2021-12-10,2022-09-09,273,117253.6,17,1,3,4,0.64,1,1
136,2021-05-24,2021-09-27,126,101741.32,8,3,12,9,0.848,0,0
137,2021-03-27,2022-03-21,359,102441.9,8,3,14,6,0.584,1,0
138,2021-02-09,2021-10-23,256,156894.03,20,2,9,10,0.761,1,1
139,2020-01-31,2020-10-24,267,153829.56,8,5,7,9,0.585,1,1
140,2020-07-11,2021-06-22,346,97226.7,20,5,10,7,0.846,1,1
141,2020-10-02,2021-05-24,234,79006.95,15,2,2,10,0.61,1,1
142,2018-07-04,2019-06-11,342,125815.01,11,4,13,3,0.428,1,1
143,2022-01-27,2022-05-10,103,108543.9,5,4,9,6,0.981,0,1
144,2018-10-28,2019-09-24,331,114283.69,6,2,13,8,0.846,1,1
145,2020-10-13,2021-01-19,98,66994.17,10,5,11,5,0.975,0,0
146,2019-01-26,2019-11-22,300,98159.72,4,5,8,2,0.658,1,0
147,2020-09-04,2020-11-15,72,57171.64,7,1,7,10,0.903,0,0
148,2022-04-11,2022-12-16,249,106890.88,9,2,4,8,0.742,1,1
149,2018-08-25,2018-11-04,71,60139.31,6,5,7,10,0.61,0,1
150,2020-04-15,2020-05-20,35,106484.73,4,4,6,1,0.745,0,0
151,2021-08-01,2022-04-13,255,100131.09,6,4,10,8,0.707,1,1
152,2022-04-20,2022-07-27,98,92174.41,16,4,9,2,0.46,0,1
153,2018-12-18,2019-04-23,126,103007.39,4,1,9,9,0.777,0,1
154,2018-06-04,2018-07-04,30,126511.17,11,1,14,1,0.931,0,1
155,2021-04-05,2022-02-03,304,108307.85,5,1,5,4,0.588,1,1
156,2020-08-03,2021-05-07,277,102871.54,9,3,5,9,0.933,1,0
157,2022-02-22,2022-05-04,71,151518.7,10,4,8,5,0.963,0,0
158,2022-12-15,2023-10-06,295,74490.42,20,1,8,5,0.66,1,1
159,2021-12-09,2022-03-14,95,116134.4,13,2,2,5,0.905,0,1
160,2021-09-27,2022-07-16,292,89158.74,13,1,1,4,0.649,1,1
161,2021-06-17,2021-10-22,127,126460.61,3,4,13,8,0.436,0,1
162,2020-06-10,2020-11-23,166,122151.59,10,1,5,4,0.679,0,1
163,2018-02-26,2018-06-10,104,137558.93,9,1,3,10,0.711,0,1
164,2022-06-16,2023-01-08,206,124538.68,14,3,3,9,0.75,1,0
165,2022-01-05,2022-12-16,345,57415.44,7,1,15,2,0.692,1,1
166,2022-05-17,2022-12-06,203,99845.02,3,5,10,7,0.76,1,1
167,2022-12-26,2023-05-03,128,67388.26,20,3,15,1,0.8,0,1
168,2019-01-11,2019-03-12,60,72468.7,10,2,11,9,0.773,0,1
169,2020-03-26,2020-07-27,123,98433.02,13,3,7,8,0.843,0,1
170,2020-08-21,2021-04-09,231,88832.91,13,5,4,8,0.629,1,1
171,2018-10-10,2018-12-21,72,86743.56,6,1,10,3,0.581,0,1
172,2022-11-12,2023-01-19,68,64147.78,14,2,8,8,0.671,0,1
173,2022-01-12,2022-11-27,319,149118.13,18,3,13,5,0.705,1,1
174,2018-07-25,2019-02-24,214,112864.72,10,4,7,6,0.881,1,1
175,2021-01-10,2021-11-14,308,97191.8,16,5,8,5,0.667,1,0
176,2020-04-03,2020-11-08,219,81589.7,6,2,12,8,0.787,1,1
177,2020-12-04,2021-03-30,116,93123.71,17,5,10,6,0.355,0,1
178,2020-02-05,2020-05-30,115,84336.9,10,3,2,10,0.371,0,1
179,2022-12-20,2023-06-07,169,114413.92,4,2,15,10,0.747,0,1
180,2022-03-22,2022-10-31,223,75693.29,14,1,4,8,0.712,1,1
181,2019-04-23,2020-03-18,330,59838.84,12,1,12,3,0.731,1,1
182,2020-01-30,2020-04-29,90,95327.37,7,3,13,1,0.693,0,1
183,2020-08-14,2021-05-05,264,83835.68,14,5,2,9,0.538,1,1
184,2021-09-28,2021-11-06,39,105455.57,9,5,1,8,0.837,0,1
185,2022-08-27,2023-02-01,158,99800.68,19,1,10,3,0.922,0,1
186,2022-04-10,2022-07-22,103,159358.24,4,2,14,6,0.852,0,1
187,2021-03-03,2021-05-06,64,74068.85,17,3,8,7,0.671,0,1
188,2022-11-16,2023-02-09,85,134893.3,5,4,3,2,0.504,0,0
189,2018-12-18,2019-08-18,243,65035.81,20,1,12,7,0.784,1,1
190,2020-05-29,2020-08-15,78,88547.25,18,3,9,7,0.606,0,1
191,2020-07-23,2020-10-01,70,85190.15,4,4,8,10,0.57,0,1
192,2022-09-24,2023-01-08,106,37431.01,15,3,4,1,0.803,0,0
193,2021-10-06,2022-05-17,223,94026.3,5,4,1,3,0.564,1,0
194,2019-01-06,2019-11-12,310,105933.11,13,4,3,2,0.741,1,0
195,2021-08-06,2022-07-29,357,112522.93,10,5,8,2,0.553,1,0
196,2018-02-15,2018-07-04,139,151083.01,13,4,5,10,0.943,0,1
197,2021-04-26,2021-08-11,107,83434.41,5,2,15,7,0.786,0,1
198,2018-03-16,2018-06-15,91,106993.93,19,2,14,2,0.289,0,1
199,2021-11-29,2022-04-16,138,106493.06,8,2,4,1,0.564,0,1
200,2018-08-06,2019-03-16,222,71521.46,10,3,13,10,0.74,1,1
201,2019-11-26,2020-05-28,184,83704.1,4,1,14,2,0.707,1,1
202,2022-08-18,2022-10-30,73,84950.78,13,2,9,6,0.814,0,1
203,2018-05-27,2018-11-20,177,113245.1,5,5,2,10,0.916,0,1
204,2019-03-09,2019-11-04,240,55743.92,18,4,15,4,0.545,1,0
205,2020-05-14,2021-04-08,329,109278.65,4,5,10,7,0.609,1,0
206,2018-04-25,2019-04-24,364,112201.1,15,5,9,2,0.937,1,0
207,2020-07-05,2021-06-12,342,108440.07,11,2,10,5,0.638,1,1
208,2021-08-27,2021-12-09,104,92038.04,4,4,15,9,0.652,0,1
209,2018-08-18,2019-06-09,295,107244.37,7,2,15,9,1.0,1,1
210,2020-02-25,2021-02-20,361,93244.92,9,5,15,10,0.842,1,1
211,2018-01-26,2018-07-06,161,49046.89,18,4,14,5,0.549,0,1
212,2022-01-30,2022-09-12,225,126289.83,20,1,8,6,0.573,1,1
213,2019-04-08,2019-11-22,228,108173.18,13,2,13,5,0.667,1,1
214,2021-03-02,2021-12-12,285,122310.27,9,3,13,3,0.714,1,0
215,2022-12-21,2023-08-16,238,63035.34,16,1,3,4,0.872,1,1
216,2021-04-11,2022-04-07,361,112734.45,16,4,7,1,0.887,1,0
217,2020-10-09,2021-06-18,252,104546.66,20,5,9,5,0.737,1,1
218,2020-11-24,2021-05-09,166,72715.24,18,3,8,5,0.577,0,0
219,2019-07-05,2019-11-19,137,101789.16,17,3,13,5,0.628,0,1
220,2019-04-15,2019-10-24,192,91311.83,10,3,10,2,0.824,1,0
221,2018-01-03,2018-03-06,62,93253.13,10,5,13,4,0.553,0,1
222,2022-01-02,2022-11-05,307,89314.8,6,1,15,6,0.617,1,1
223,2018-01-14,2018-10-05,264,121740.15,3,5,4,9,0.903,1,1
224,2018-07-11,2018-09-08,59,59194.55,14,4,13,2,0.742,0,1
225,2019-02-10,2019-07-24,164,55531.99,9,1,9,10,0.924,0,1
226,2020-07-05,2021-01-18,197,104513.27,15,1,13,10,1.0,1,1
227,2022-10-31,2023-03-24,144,102734.87,17,3,10,4,0.809,0,1
228,2018-03-01,2018-08-17,169,105421.53,4,2,12,7,0.766,0,1
229,2020-03-15,2020-11-07,237,147050.61,6,4,13,2,0.902,1,1
230,2020-06-11,2021-05-29,352,104597.08,19,2,5,1,0.715,1,0
231,2020-11-15,2021-06-12,209,75259.88,19,2,13,10,0.681,1,0
232,2021-02-26,2021-04-27,60,163467.28,7,1,5,5,0.779,0,1
233,2020-09-24,2020-12-29,96,96049.8,14,4,7,4,0.636,0,0
234,2018-02-22,2018-09-29,219,121306.16,9,2,8,6,0.352,1,0
235,2020-12-06,2021-06-25,201,67750.98,16,4,4,7,0.506,1,0
236,2020-05-23,2020-12-01,192,62430.87,7,4,4,2,0.661,1,0
237,2021-06-19,2022-02-16,242,93856.42,7,4,7,1,0.659,1,0
238,2020-04-06,2020-07-13,98,120110.98,7,1,2,7,0.676,0,1
239,2022-12-21,2023-04-12,112,146223.9,8,5,6,2,0.869,0,1
240,2018-05-12,2019-01-09,242,74570.2,19,1,9,4,0.778,1,0
241,2021-01-23,2021-02-25,33,93277.78,5,2,8,7,0.534,0,1
242,2018-04-28,2018-06-16,49,100017.48,3,5,15,5,0.724,0,1
243,2019-05-13,2019-12-04,205,100348.23,10,3,12,9,0.696,1,1
244,2018-03-27,2018-12-01,249,97128.9,16,3,11,3,0.723,1,1
245,2019-06-11,2020-04-22,316,99181.17,18,2,12,6,0.618,1,1
246,2021-10-10,2021-12-22,73,134714.56,8,5,12,2,0.301,0,1
247,2019-01-06,2019-09-29,266,131152.13,14,3,11,5,0.389,1,1
248,2019-08-17,2020-05-30,287,107246.06,8,2,4,6,0.662,1,0
249,2021-12-15,2022-03-19,94,64812.21,4,1,3,7,0.583,0,1
250,2021-02-09,2021-04-23,73,90952.73,17,5,6,4,0.69,0,1
251,2018-04-07,2018-12-23,260,123391.96,8,4,7,4,0.891,1,1
252,2019-05-26,2020-04-29,339,82388.25,14,4,2,10,0.591,1,1
253,2019-12-07,2020-05-18,163,86886.99,7,2,6,7,0.773,0,1
254,2022-10-30,2023-04-08,160,91232.96,11,4,14,5,0.666,0,1
255,2021-12-28,2022-07-23,207,117774.0,8,1,12,9,0.767,1,1
256,2019-05-06,2020-03-22,321,141159.93,10,4,3,7,0.549,1,1
257,2019-07-23,2020-06-11,324,114827.53,14,4,9,6,0.654,1,1
258,2020-08-02,2020-10-22,81,58255.52,16,3,11,9,0.965,0,1
259,2019-08-30,2020-07-12,317,86931.92,19,4,8,1,0.857,1,0
260,2020-02-14,2020-09-23,222,132894.16,6,3,11,7,0.437,1,1
261,2018-03-27,2018-11-18,236,67989.27,9,3,12,2,0.963,1,0
262,2020-03-22,2020-11-16,239,56163.26,11,4,5,4,0.618,1,0
263,2021-06-05,2021-10-06,123,86377.02,5,1,1,4,0.76,0,0
264,2019-01-06,2019-06-20,165,124295.57,3,3,11,9,0.695,0,1
265,2019-10-24,2020-07-11,261,90909.69,20,2,8,9,0.691,1,1
266,2018-09-04,2019-02-03,152,153880.99,16,4,12,4,0.801,0,1
267,2020-02-10,2020-10-06,239,104271.64,11,2,10,10,0.672,1,0
268,2019-02-17,2019-08-11,175,67788.82,16,1,1,10,0.715,0,1
269,2021-08-27,2022-07-11,318,104896.13,12,1,12,9,0.553,1,1
270,2018-04-20,2018-11-28,222,150139.35,9,1,10,8,0.808,1,1
271,2022-09-07,2023-02-28,174,106400.74,6,2,8,2,0.847,0,0
272,2022-06-04,2022-12-07,186,74906.05,18,2,15,5,0.777,1,0
273,2021-04-14,2021-07-12,89,53978.14,14,2,7,5,0.508,0,1
274,2022-08-16,2023-01-19,156,91299.67,7,5,15,3,0.73,0,1
275,2021-12-21,2022-02-09,50,84712.05,18,2,13,4,0.489,0,1
276,2021-07-03,2022-02-14,226,133532.8,15,2,4,1,0.567,1,1
277,2022-01-13,2022-04-03,80,76265.03,11,4,15,7,1.0,0,1
278,2020-12-06,2021-09-08,276,102383.02,4,1,10,5,0.727,1,1
279,2020-10-04,2021-06-18,257,85609.05,15,1,9,10,0.718,1,1
280,2022-03-12,2022-06-14,94,57761.07,13,1,3,5,0.848,0,1
281,2021-08-18,2022-04-18,243,99125.29,6,5,15,1,0.966,1,0
282,2021-08-01,2022-06-07,310,61051.19,15,4,5,9,0.64,1,0
283,2019-03-24,2019-09-22,182,115810.19,15,5,6,6,0.846,1,1
284,2019-12-16,2020-11-19,339,55928.33,7,5,10,4,0.872,1,1
285,2018-06-19,2019-02-06,232,98139.16,8,1,13,6,0.793,1,1
286,2021-05-05,2021-06-23,49,126614.22,17,5,5,10,0.718,0,1
287,2018-10-14,2018-12-28,75,113994.76,15,1,12,5,0.862,0,1
288,2019-11-01,2020-10-02,336,88656.39,16,4,1,10,0.795,1,1
289,2018-12-31,2019-08-16,228,110740.46,10,5,9,6,0.731,1,1
290,2018-11-29,2019-02-07,70,120462.12,13,1,5,7,0.72,0,1
291,2019-08-21,2020-01-02,134,72973.59,15,5,3,6,0.858,0,0
292,2020-03-19,2021-02-18,336,128226.74,12,1,3,2,0.688,1,0
293,2021-06-30,2021-08-29,60,123457.1,8,4,9,4,0.623,0,1
294,2018-10-28,2019-08-17,293,64871.0,18,5,15,2,0.775,1,1
295,2020-02-25,2020-12-06,285,105553.34,20,3,7,7,0.628,1,1
296,2020-12-15,2021-04-03,109,93474.32,20,2,7,2,0.72,0,1
297,2019-08-12,2020-03-27,228,136174.45,10,1,7,7,0.729,1,1
298,2020-04-04,2020-07-21,108,121694.13,18,5,7,3,0.742,0,0
299,2019-05-16,2019-09-19,126,102057.1,5,1,15,4,0.86,0,0
300,2021-01-18,2021-09-19,244,130579.27,4,1,5,10,0.597,1,1
301,2018-10-30,2019-01-24,86,157472.45,20,1,13,8,0.646,0,1
302,2022-10-08,2023-05-20,224,57954.49,3,5,4,2,0.436,1,0
303,2021-12-26,2022-04-05,100,89495.33,10,5,11,2,0.658,0,1
304,2018-03-02,2019-02-18,353,74847.1,20,4,10,8,0.542,1,1
305,2019-02-11,2019-04-19,67,99132.88,9,3,9,3,0.735,0,1
306,2019-07-23,2019-10-11,80,73235.55,14,1,15,5,0.802,0,0
307,2020-04-18,2020-05-18,30,124608.06,3,5,8,8,0.668,0,0
308,2019-05-18,2019-11-05,171,157743.07,7,2,8,5,0.6,0,1
309,2021-01-16,2021-03-23,66,104161.31,6,5,9,1,0.774,0,0
310,2021-06-07,2021-11-02,148,60750.99,20,5,6,2,0.711,0,1
311,2019-12-18,2020-03-24,97,84421.49,7,3,11,7,0.617,0,1
312,2018-12-22,2019-12-02,345,87600.77,13,2,6,5,0.675,1,0
313,2020-04-25,2021-04-22,362,135512.61,18,5,4,2,0.614,1,0
314,2019-09-29,2019-11-25,57,108590.46,8,5,1,9,0.644,0,1
315,2020-02-08,2020-10-27,262,105073.08,14,2,12,3,0.473,1,1
316,2021-02-04,2021-12-13,312,78997.25,16,5,7,6,0.725,1,0
317,2022-12-08,2023-08-23,258,84680.28,20,1,15,3,0.642,1,0
318,2018-07-31,2018-11-23,115,113587.48,19,5,12,9,0.863,0,1
319,2018-05-23,2018-12-20,211,95576.32,9,2,14,3,0.58,1,1
320,2022-07-17,2023-05-06,293,122102.52,18,1,15,8,0.557,1,1
321,2018-12-11,2019-09-29,292,87059.72,8,3,11,6,0.734,1,0
322,2018-11-07,2019-08-21,287,30000.0,19,1,15,7,0.569,1,1
323,2020-08-25,2021-04-23,241,87764.01,20,3,3,10,0.857,1,1
324,2021-04-24,2021-06-02,39,59015.09,15,2,4,8,0.769,0,1
325,2022-04-02,2023-01-08,281,114766.37,19,4,15,6,0.866,1,0
326,2020-10-14,2021-09-08,329,110140.44,14,5,5,7,0.807,1,0
327,2021-12-14,2022-05-05,142,126666.87,19,5,8,2,0.875,0,0
328,2021-05-27,2021-12-18,205,83770.22,19,2,1,6,0.772,1,0
329,2022-09-05,2022-10-06,31,95822.05,14,3,3,10,0.722,0,1
330,2018-04-01,2018-07-26,116,82761.49,19,3,4,6,0.774,0,0
331,2019-06-30,2020-05-30,335,100718.62,16,1,6,3,0.892,1,1
332,2020-10-28,2021-04-02,156,120443.82,8,4,14,4,0.477,0,0
333,2021-03-05,2021-10-14,223,66003.6,9,2,3,2,0.812,1,0
334,2018-01-07,2018-04-02,85,137378.34,15,5,13,5,0.732,0,1
335,2021-08-06,2022-05-09,276,106234.59,4,1,1,4,0.937,1,0
336,2020-08-28,2021-02-25,181,130224.55,7,4,14,8,0.484,1,0
337,2022-10-01,2022-11-18,48,88839.16,13,4,4,3,0.729,0,1
338,2022-01-07,2022-11-07,304,90926.07,9,4,12,1,0.726,1,0
339,2019-06-07,2019-12-16,192,129876.17,7,3,4,1,0.472,1,1
340,2020-11-07,2021-05-23,197,109177.56,4,3,15,4,0.621,1,1
341,2020-11-24,2021-10-31,341,139138.1,20,5,12,4,0.69,1,0
342,2022-12-26,2023-07-02,188,57475.16,5,5,12,10,0.639,1,0
343,2019-01-16,2019-05-10,114,63799.65,12,1,10,2,0.37,0,1
344,2021-10-22,2022-06-12,233,116215.91,8,2,10,2,0.848,1,1
345,2021-12-04,2022-10-30,330,106095.02,12,4,7,3,0.615,1,0
346,2020-10-30,2021-01-18,80,94439.68,13,2,11,5,0.528,0,0
347,2021-02-23,2021-06-12,109,146165.92,20,5,15,2,0.539,0,1
348,2020-08-27,2020-12-16,111,122447.21,4,2,13,7,0.669,0,1
349,2021-09-25,2022-06-16,264,68711.51,15,3,10,4,0.917,1,0
350,2022-05-16,2022-11-23,191,112637.55,15,4,12,5,0.696,1,1
351,2018-08-16,2019-01-18,155,108568.13,10,5,5,2,0.769,0,0
352,2019-11-23,2020-11-12,355,111498.23,10,5,4,4,0.791,1,0
353,2022-05-26,2022-12-06,194,104913.03,20,4,8,6,0.806,1,0
354,2018-05-12,2019-04-25,348,74232.06,6,3,1,6,0.693,1,1
355,2018-02-19,2018-09-13,206,83090.19,6,2,5,2,0.97,1,1
